,0,1,2,3,4
47,[태풍고백] 알쏭달쏭 태풍상식 응모,2020-05-26 ~ 2020-07-05,https://jeju.museum.go.kr/_prog/edunew/index.php?site_dvs_cd=kr&menu_dvs_cd=050105&func_dvs_cd=edu&kind=19&GotoPage=1&mode=V&mng_no=230,https://jeju.museum.go.kr/Upl/kr/edunew/thm_edu_0_1589509612.jpg,국립제주박물관
48,[성인] 바람 따라 떠나는 제주 문화 기행,2020-05-30 ~ 2020-11-28,https://jeju.museum.go.kr/_prog/edunew/index.php?site_dvs_cd=kr&menu_dvs_cd=050103&func_dvs_cd=edu&kind=4&GotoPage=1&mode=V&mng_no=229,https://jeju.museum.go.kr/Upl/kr/edunew/thm_edu_0_1589448672.jpg,국립제주박물관
49,[성인] 제2기 박물관 문화대학 최고과정,2020-06-11 ~ 2020-08-20,https://jeju.museum.go.kr/_prog/edunew/index.php?site_dvs_cd=kr&menu_dvs_cd=050103&func_dvs_cd=edu&kind=4&GotoPage=1&mode=V&mng_no=228,https://jeju.museum.go.kr/Upl/kr/edunew/thm_edu_0_1589446088.jpg,국립제주박물관
50,비대면 교육프로그램 [방구석 박물관],2020-05-09 ~ 2020-05-30,https://jeju.museum.go.kr/_prog/edunew/index.php?site_dvs_cd=kr&menu_dvs_cd=050101&func_dvs_cd=edu&kind=1&GotoPage=1&mode=V&mng_no=226,https://jeju.museum.go.kr/Upl/kr/edunew/thm_edu_0_1588741317.jpg,국립제주박물관
51,2020 교구상자 대여<상자를 열면?>,2020-03-01 ~ 2020-12-31,https://jeju.museum.go.kr/_prog/edunew/index.php?site_dvs_cd=kr&menu_dvs_cd=050104&func_dvs_cd=edu&kind=2&GotoPage=1&mode=V&mng_no=225,https://jeju.museum.go.kr/Upl/kr/edunew/thm_edu_0_1584752566.png,국립제주박물관
52,[중고등학교 연계] 2020 교과서 밖 제주 역사 나들이,2020-03-01 ~ 2020-12-31,https://jeju.museum.go.kr/_prog/edunew/index.php?site_dvs_cd=kr&menu_dvs_cd=050104&func_dvs_cd=edu&kind=2&GotoPage=1&mode=V&mng_no=224,https://jeju.museum.go.kr/Upl/kr/edunew/thm_edu_0_1584751719.jpg,국립제주박물관
53,"[초등단체] 2020 학교, 박물관을 찾다",2020-03-01 ~ 2020-12-31,https://jeju.museum.go.kr/_prog/edunew/index.php?site_dvs_cd=kr&menu_dvs_cd=050104&func_dvs_cd=edu&kind=2&GotoPage=2&mode=V&mng_no=223,https://jeju.museum.go.kr/Upl/kr/edunew/thm_edu_0_1584750202.jpg,국립제주박물관
54,[특별전연계] 유 퀴즈 온 더 박물관,2020-02-26 ~ 2020-02-26,https://jeju.museum.go.kr/_prog/edunew/index.php?site_dvs_cd=kr&menu_dvs_cd=050105&func_dvs_cd=edu&kind=19&GotoPage=2&mode=V&mng_no=219,https://jeju.museum.go.kr/Upl/kr/edunew/thm_edu_0_1573782524.jpg,국립제주박물관
55,가족극 “플리즈” 공연(6.27.17시),2020-06-27 ~ 2020-06-27,https://jeju.museum.go.kr/_prog/edu/index.php?site_dvs_cd=kr&menu_dvs_cd=050201&func_dvs_cd=culture&kind=1&GotoPage=1&mode=V&mng_no=927,https://jeju.museum.go.kr/Upl/kr/edu/thm_culture_0_1590460140.png,국립제주박물관
56,가족극 “플리즈” 공연(6.27.14시),2020-06-27 ~ 2020-06-27,https://jeju.museum.go.kr/_prog/edu/index.php?site_dvs_cd=kr&menu_dvs_cd=050201&func_dvs_cd=culture&kind=1&GotoPage=1&mode=V&mng_no=926,https://jeju.museum.go.kr/Upl/kr/edu/thm_culture_0_1590460044.png,국립제주박물관
